,property_type,seller,status,rate per sqft,price,area,location,RERA
62,3 BHK Apartment in Bhavya BHAVYAS THE EUGEN,Bhavya Constructions Pvt Ltd,Under Construction,"12,000 / sq ft", 3.75 Cr,3126 ,Madhapur,approval by RERA
63,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 76.33 L,1510 ,Pocharam,approval by RERA
64,4 BHK Villa in Giridhari Prospera County,Giridhari Constructions,Under Construction,"15,000 / sq ft", 9.22 Cr,6150 ,Kismatpur,approval by RERA
65,5 BHK Villa in Nest Bliss In The Woods,Nest Makers,Under Construction,"7,223 / sq ft", 6.5 Cr,9000 ,Harshaguda,approval by RERA
66,3 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 1.17 Cr,1870 ,Nizampet,approval by RERA
67,3 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,600 / sq ft", 1.01 Cr,1804 ,Bandlaguda Jagir,approval by RERA
68,4 BHK Villa in APR Praveens Crystal Avenue,APR Group,Under Construction,"7,469 / sq ft", 2.13 Cr,2865 ,Hayathnagar,approval by RERA
69,2 BHK Apartment in Adhireddy Pavan Kumar Reddy Cozy Essence Elite,Cozy Essence Builders,Under Construction,"4,000 / sq ft", 52.16 L,1304 ,Kompally,approval by RERA
70,4 BHK Independent House in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 2.34 Cr,3000 ,Begumpet,approval by RERA
71,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"5,299 / sq ft", 1.17 Cr,2223 ,Bachupally,approval by RERA
72,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.36 Cr,3435 ,Hyder Nagar,approval by RERA
73,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase III,EAPL Group,Under Construction,"4,999 / sq ft", 1.09 Cr,2187 ,Mallapur,approval by RERA
74,3 BHK Apartment in Primark De Stature,Primark Developers,Under Construction,"4,499 / sq ft", 68.15 L,1515 ,Kompally,approval by RERA
75,2 BHK Apartment in Beams 4 Blocks,Beams And Columns Builders Private Limited,Under Construction,"5,299 / sq ft", 65.97 L,1245 ,Kompally,approval by RERA
76,3 BHK Apartment in Primark De Stature,Primark Projects Pvt Ltd,Under Construction,"4,499 / sq ft", 68.15 L,1515 ,Kompally,approval by RERA
77,3 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 94.14 L,1569 ,Nallagandla Gachibowli,approval by RERA
78,2 BHK Apartment in Maruthi Elite,Maruthi Developers,Ready to move,"5,500 / sq ft", 68.75 L,1250 ,Nizampet,not approval by RERA
79,2 BHK Apartment in Riddhi Golden Nest,Riddhi Group,Ready to move,"6,300 / sq ft", 81.77 L,1298 ,Puppalaguda,not approval by RERA
80,3 BHK Apartment in Vajra The Royal Park,Vajra Builders And Developers,Under Construction,"4,200 / sq ft", 70.35 L,1675 ,Bowrampet,approval by RERA
81,3 BHK Villa in Saket Bhusatva Ph II,Saket Engineers Pvt Ltd,Under Construction,"7,749 / sq ft", 1.64 Cr,2122 ,Kompally,approval by RERA
82,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,350 / sq ft", 1.16 Cr,1841 ,Manikonda,approval by RERA
83,2 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,999 / sq ft", 69.23 L,1385 ,Kollur,approval by RERA
84,3 BHK Apartment in Candeur Crescent,Candeur Developers And Builders,Under Construction,"7,944 / sq ft", 2.11 Cr,2656 ,Serilingampally,approval by RERA
85,2 BHK Apartment in MKT Urban Tree,MKT Praneeth Homes,Under Construction,"3,800 / sq ft", 37.54 L,988 ,Isnapur,approval by RERA
86,3 BHK Apartment in Vasavi Nandanam,Vasavi Group,Under Construction,"5,500 / sq ft", 92.12 L,1675 ,Jeedimetla,approval by RERA
87,3 BHK Apartment in Aavasa Constructions Emerald,Aavasa Constructions,Under Construction,"6,500 / sq ft", 99.77 L,1535 ,Saroor Nagar,approval by RERA
88,4 BHK Villa in RV Nirmaan Somwrita,R V Nirmaan Private Limited,Ready to move,"13,425 / sq ft", 3.51 Cr,2620 ,Kismatpur,not approval by RERA
89,3 BHK Apartment in Cybercity Oriana,Cyber City Oriana,Under Construction,"10,322 / sq ft", 1.6 Cr,1550 ,Kukatpally,approval by RERA
90,4 BHK Apartment in G K Casa Grande,G K Constructions,Under Construction,"5,752 / sq ft", 1.61 Cr,2808 ,Yapral,approval by RERA
91,2 BHK Apartment in Srija Twin Towers,Srija Infra Developers Hyderabad,Under Construction,"4,800 / sq ft", 53.8 L,1121 ,Dammaiguda,approval by RERA
92,2 BHK Apartment in GHR Callisto,GHR Infra,Under Construction,"4,799 / sq ft", 57.34 L,1195 ,Kollur,approval by RERA
93,4 BHK Villa in Vishal Sanjivini,Vishal Projects Limited,Under Construction,"10,616 / sq ft", 4.5 Cr,4239 ,Maheshwaram,approval by RERA
94,2 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 84.98 L,1250 ,Manchirevula,approval by RERA
95,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,998 / sq ft", 1.09 Cr,2195 ,Kollur,approval by RERA
96,3 BHK Apartment in Syamantaka Emerald Heights,Symantaka Infra,Under Construction,"5,400 / sq ft", 78.84 L,1460 ,Bachupally,approval by RERA
97,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.28 Cr,2105 ,Yapral,approval by RERA
98,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 98.89 L,1705 ,Saidabad,approval by RERA
99,4 BHK Apartment in Sterling Orchids,Sterling Homes PvtLtd,Under Construction,"4,799 / sq ft", 1.98 Cr,4135 ,Mallampet,approval by RERA
100,3 BHK Apartment in Riddhi Golden Nest,Riddhi Group,Ready to move,"6,300 / sq ft", 1.04 Cr,1665 ,Puppalaguda,not approval by RERA
101,4 BHK Villa in Vajra Nature City,Vajra Builders And Developers,Ready to move,"7,000 / sq ft", 1.61 Cr,2300 ,Bachupally,not approval by RERA
102,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,350 / sq ft", 92.01 L,1449 ,Manikonda,approval by RERA
103,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,350 / sq ft", 83.56 L,1316 ,Manikonda,approval by RERA
104,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,350 / sq ft", 91.82 L,1446 ,Manikonda,approval by RERA
